8
7
0.427947, 0.350812, 0.505739, 0.305864, 0.679745, 0.578136, 0.554883, 1
0.414172, 0.460252, 0.513327, 0.495240, 0.771715, 0.511313, 0.618458, 1
0.513523, 0.434903, 0.828801, 0.390097, 0.892500, 0.487479, 0.690805, 1
0.549956, 0.425569, 0.509538, 0.435393, 1, 0.419731, 0.822757, 0.901456
0.568348, 0.457213, 0.394343, 0.376277, 1, 0.327728, 0.915975, 0.718308
0.696373, 0.607797, 0.667442, 0.549605, 1, 0.567812, 0.893165, 0.980499
0.596690, 0.771279, 0.624219, 0.767799, 1.086060, 0.555316, 1, 0.950397
0.957, 0.961, 0.961, 0.961, 0.966, 0.977, 0.972, 0.967
0.995, 0.999, 0.978, 0.954, 0.940, 0.948, 0.964, 0.985
1.039, 1.042, 0.995, 0.945, 0.913, 0.921, 0.953, 1.004
1.090, 1.091, 1.010, 0.936, 0.890, 0.898, 0.942, 1.025
1.142, 1.141, 1.028, 0.926, 0.867, 0.873, 0.930, 1.039
1.192, 1.188, 1.037, 0.916, 0.847, 0.852, 0.918, 1.054
1.234, 1.226, 1.039, 0.903, 0.827, 0.833, 0.905, 1.064
